year,sex,highest_qualification,age,outside_labour_force
2015,males,post-secondary (non-tertiary),15-19,4700
2015,males,post-secondary (non-tertiary),20-24,23400
2015,males,post-secondary (non-tertiary),25-29,2500
2015,males,post-secondary (non-tertiary),30-34,300
2015,males,post-secondary (non-tertiary),35-39,500
2015,males,post-secondary (non-tertiary),40-44,300
2015,males,post-secondary (non-tertiary),45-49,400
2015,males,post-secondary (non-tertiary),50-54,1000
2015,males,post-secondary (non-tertiary),55-59,1800
2015,males,post-secondary (non-tertiary),60-64,2800
2015,males,post-secondary (non-tertiary),65-69,2500
2015,males,post-secondary (non-tertiary),70 and over,5100
2015,males,diploma and professional qualification,15-19,1700
2015,males,diploma and professional qualification,20-24,14900
2015,males,diploma and professional qualification,25-29,3900
2015,males,diploma and professional qualification,30-34,600
2015,males,diploma and professional qualification,35-39,700
2015,males,diploma and professional qualification,40-44,500
2015,males,diploma and professional qualification,45-49,900
2015,males,diploma and professional qualification,50-54,1000
2015,males,diploma and professional qualification,55-59,1800
2015,males,diploma and professional qualification,60-64,2800
2015,males,diploma and professional qualification,65-69,3200
2015,males,diploma and professional qualification,70 and over,4400
2015,males,degree,15-19,-
2015,males,degree,20-24,600
2015,males,degree,25-29,2300
2015,males,degree,30-34,900
2015,males,degree,35-39,1100
2015,males,degree,40-44,1400
2015,males,degree,45-49,1100
2015,males,degree,50-54,2100
2015,males,degree,55-59,2700
2015,males,degree,60-64,3300
2015,males,degree,65-69,4200
2015,males,degree,70 and over,6300
2015,females,primary and below,15-19,12000
2015,females,primary and below,20-24,600
2015,females,primary and below,25-29,1100
2015,females,primary and below,30-34,1400
2015,females,primary and below,35-39,2300
2015,females,primary and below,40-44,4400
2015,females,primary and below,45-49,7400
2015,females,primary and below,50-54,14500
2015,females,primary and below,55-59,22000
2015,females,primary and below,60-64,28400
2015,females,primary and below,65-69,37400
2015,females,primary and below,70 and over,114600
2015,females,lower secondary,15-19,27700
2015,females,lower secondary,20-24,300
2015,females,lower secondary,25-29,1400
2015,females,lower secondary,30-34,1700
2015,females,lower secondary,35-39,1700
2015,females,lower secondary,40-44,2900
2015,females,lower secondary,45-49,4400
2015,females,lower secondary,50-54,6100
2015,females,lower secondary,55-59,6500
2015,females,lower secondary,60-64,9800
2015,females,lower secondary,65-69,8100
2015,females,lower secondary,70 and over,9600
2015,females,secondary,15-19,55800
2015,females,secondary,20-24,5200
2015,females,secondary,25-29,2100
2015,females,secondary,30-34,4800
2015,females,secondary,35-39,5200
2015,females,secondary,40-44,7600
2015,females,secondary,45-49,10700
2015,females,secondary,50-54,13900
2015,females,secondary,55-59,16300
2015,females,secondary,60-64,18600
2015,females,secondary,65-69,13400
2015,females,secondary,70 and over,12500
2015,females,post-secondary (non-tertiary),15-19,9300
2015,females,post-secondary (non-tertiary),20-24,18500
2015,females,post-secondary (non-tertiary),25-29,1500
2015,females,post-secondary (non-tertiary),30-34,2000
2015,females,post-secondary (non-tertiary),35-39,2000
2015,females,post-secondary (non-tertiary),40-44,2900
2015,females,post-secondary (non-tertiary),45-49,3600
2015,females,post-secondary (non-tertiary),50-54,4200
2015,females,post-secondary (non-tertiary),55-59,4200
2015,females,post-secondary (non-tertiary),60-64,3000
2015,females,post-secondary (non-tertiary),65-69,3400
2015,females,post-secondary (non-tertiary),70 and over,3600
2015,females,diploma and professional qualification,15-19,1300
2015,females,diploma and professional qualification,20-24,14000
2015,females,diploma and professional qualification,25-29,2800
2015,females,diploma and professional qualification,30-34,3800
2015,females,diploma and professional qualification,35-39,5200
2015,females,diploma and professional qualification,40-44,5200
2015,females,diploma and professional qualification,45-49,4400
2015,females,diploma and professional qualification,50-54,3400
2015,females,diploma and professional qualification,55-59,2300
2015,females,diploma and professional qualification,60-64,2000
2015,females,diploma and professional qualification,65-69,2100
2015,females,diploma and professional qualification,70 and over,2600
2015,females,degree,15-19,-
2015,females,degree,20-24,2900
2015,females,degree,25-29,3900
2015,females,degree,30-34,9300
2015,females,degree,35-39,12700
2015,females,degree,40-44,11700
2015,females,degree,45-49,7400
2015,females,degree,50-54,4900
2015,females,degree,55-59,3800
2015,females,degree,60-64,3300
2015,females,degree,65-69,2800
2015,females,degree,70 and over,2900
